Question,Réponse
Oui,Moins de 20 ans,Licence 1,États-Unis,Opportunités professionnelles,Etudes supplementaires,Moins d'un an,Oui
Oui,Moins de 20 ans,Licence 1,États-Unis,Opportunités professionnelles,Etudes supplementaires,Moins d'un an,Oui
Oui,20-24 ans,Licence 4,Canada,Opportunités professionnelles,Raisons professionnelles,1-2 ans,Oui
Oui,20-24 ans,Licence 1,Etats-Unis,Recherche académique,Etudes supplementaires,1-2 ans,Oui
